transaction_id,customer_id,merchant_id,amount,timestamp,device_id,ip_address,payment_method,location,transaction_frequency,customer_age_days,previous_transaction_count,previous_fraud_count,is_new_device,is_new_ip,is_fraud
txn_000038,CUST-1080,M-019,18158,2026-08-21T06:58:00,DEV-77A,IP-103.24,PI-073,Bengaluru,6,297,27,3,False,False,True
txn_000039,CUST-1081,M-013,17843,2026-08-21T07:09:00,DEV-031,IP-103.24,PI-017,Bengaluru,11,337,59,3,True,False,True
txn_000040,CUST-1082,M-001,17448,2026-08-21T07:20:00,DEV-77A,IP-030,PI-059,Bengaluru,10,132,10,2,False,True,True
txn_000041,CUST-1083,M-009,18336,2026-08-21T07:31:00,DEV-77A,IP-103.24,PI-017,Delhi,2,280,48,3,False,False,True
txn_000042,CUST-1084,M-018,18197,2026-08-21T07:42:00,DEV-021,IP-103.24,PI-039,Bengaluru,13,699,68,1,True,False,True
txn_000043,CUST-1085,M-018,18667,2026-08-21T07:53:00,DEV-77A,IP-103.24,PI-039,Bengaluru,2,167,34,1,False,False,True
txn_000044,CUST-1086,M-018,17519,2026-08-21T08:04:00,DEV-77A,IP-029,PI-020,Delhi,5,649,27,3,False,True,True
txn_000045,CUST-1087,M-009,18598,2026-08-21T08:15:00,DEV-027,IP-103.24,PI-065,Delhi,5,896,7,1,True,False,True
txn_000046,CUST-1088,M-014,18599,2026-08-21T08:26:00,DEV-77A,IP-103.24,PI-036,Mumbai,1,371,17,3,False,False,True
txn_000047,CUST-1089,M-015,17630,2026-08-21T08:37:00,DEV-77A,IP-103.24,PI-071,Bengaluru,7,604,2,1,False,False,True
txn_000048,CUST-1090,M-018,17605,2026-08-21T08:48:00,DEV-010,IP-029,PI-005,Delhi,10,595,19,4,True,True,True
txn_000049,CUST-1091,M-002,17561,2026-08-21T08:59:00,DEV-77A,IP-103.24,PI-040,Delhi,13,70,46,2,False,False,True
txn_000050,CUST-1092,M-008,18696,2026-08-21T09:10:00,DEV-77A,IP-103.24,PI-086,Mumbai,6,828,72,4,False,False,True
txn_000051,CUST-1093,M-008,17616,2026-08-21T09:21:00,DEV-080,IP-103.24,PI-021,Mumbai,7,55,23,3,True,False,True
txn_000052,CUST-1094,M-008,18143,2026-08-21T09:32:00,DEV-77A,IP-026,PI-035,Mumbai,13,748,14,4,False,True,True
txn_000053,CUST-1095,M-016,17379,2026-08-21T09:43:00,DEV-77A,IP-103.24,PI-029,Mumbai,14,501,45,3,False,False,True
txn_000054,CUST-1096,M-001,17756,2026-08-21T09:54:00,DEV-030,IP-103.24,PI-085,Mumbai,7,366,36,1,True,False,True
txn_000055,CUST-1097,M-012,17871,2026-08-21T10:05:00,DEV-77A,IP-103.24,PI-083,Bengaluru,7,725,69,3,False,False,True
txn_000056,CUST-1098,M-009,17536,2026-08-21T10:16:00,DEV-77A,IP-001,PI-023,Bengaluru,5,69,14,4,False,True,True
txn_000057,CUST-1099,M-014,17942,2026-08-21T10:27:00,DEV-045,IP-103.24,PI-078,Bengaluru,2,424,74,2,True,False,True
txn_000058,CUST-1100,M-002,17821,2026-08-21T10:38:00,DEV-77A,IP-103.24,PI-056,Mumbai,9,855,69,2,False,False,True
txn_000059,CUST-1101,M-014,18045,2026-08-21T10:49:00,DEV-77A,IP-103.24,PI-009,Bengaluru,6,668,41,1,False,False,True
txn_000060,CUST-1102,M-014,17933,2026-08-21T11:00:00,DEV-039,IP-017,PI-042,Delhi,12,332,71,2,True,True,True
txn_000061,CUST-1103,M-014,17692,2026-08-21T11:11:00,DEV-77A,IP-103.24,PI-086,Delhi,11,796,23,3,False,False,True
txn_000062,CUST-1104,M-018,18131,2026-08-21T11:22:00,DEV-77A,IP-103.24,PI-001,Delhi,5,245,56,3,False,False,True
txn_000063,CUST-1105,M-015,18204,2026-08-21T11:33:00,DEV-060,IP-103.24,PI-087,Mumbai,9,514,22,1,True,False,True
txn_000064,CUST-1106,M-020,18355,2026-08-21T11:44:00,DEV-77A,IP-010,PI-043,Mumbai,14,799,31,3,False,True,True
txn_000065,CUST-1107,M-007,17760,2026-08-21T11:55:00,DEV-77A,IP-103.24,PI-019,Mumbai,1,280,61,1,False,False,True
txn_000066,CUST-1108,M-019,18148,2026-08-21T12:06:00,DEV-059,IP-103.24,PI-025,Bengaluru,12,423,64,4,True,False,True
txn_000067,CUST-1109,M-005,17799,2026-08-21T12:17:00,DEV-77A,IP-103.24,PI-084,Bengaluru,1,798,14,4,False,False,True
txn_000068,CUST-1110,M-017,17660,2026-08-21T12:28:00,DEV-77A,IP-008,PI-060,Mumbai,9,285,16,4,False,True,True
txn_000069,CUST-1111,M-017,18251,2026-08-21T12:39:00,DEV-018,IP-103.24,PI-072,Bengaluru,6,803,57,4,True,False,True
txn_000070,CUST-1112,M-015,18422,2026-08-21T12:50:00,DEV-77A,IP-103.24,PI-021,Bengaluru,14,516,58,3,False,False,True
txn_000071,CUST-1113,M-009,17806,2026-08-21T13:01:00,DEV-77A,IP-103.24,PI-067,Delhi,11,274,36,4,False,False,True
txn_000072,CUST-1114,M-008,17885,2026-08-21T13:12:00,DEV-010,IP-023,PI-035,Delhi,6,583,11,2,True,True,True
txn_000073,CUST-1115,M-008,17608,2026-08-21T13:23:00,DEV-77A,IP-103.24,PI-050,Bengaluru,3,753,28,1,False,False,True
txn_000074,CUST-1116,M-014,18149,2026-08-21T13:34:00,DEV-77A,IP-103.24,PI-043,Bengaluru,8,455,8,2,False,False,True
txn_000075,CUST-1117,M-019,18097,2026-08-21T13:45:00,DEV-054,IP-103.24,PI-090,Mumbai,14,813,74,4,True,False,True
txn_000076,CUST-1118,M-012,17312,2026-08-21T13:56:00,DEV-77A,IP-016,PI-039,Delhi,14,885,54,2,False,True,True
txn_000077,CUST-1119,M-008,18299,2026-08-21T14:07:00,DEV-77A,IP-103.24,PI-035,Delhi,8,59,50,3,False,False,True
txn_000078,CUST-1120,M-015,17638,2026-08-21T14:18:00,DEV-052,IP-103.24,PI-017,Bengaluru,9,57,51,1,True,False,True
txn_000079,CUST-1121,M-014,17471,2026-08-21T14:29:00,DEV-77A,IP-103.24,PI-018,Delhi,3,81,34,4,False,False,True
txn_000080,CUST-1122,M-015,17733,2026-08-21T14:40:00,DEV-77A,IP-011,PI-042,Delhi,13,418,36,4,False,True,True
txn_000081,CUST-1123,M-016,17467,2026-08-21T14:51:00,DEV-033,IP-103.24,PI-003,Bengaluru,9,83,45,2,True,False,True
txn_000082,CUST-1124,M-003,18631,2026-08-21T15:02:00,DEV-77A,IP-103.24,PI-084,Mumbai,13,61,32,2,False,False,True
txn_000083,CUST-1125,M-020,17341,2026-08-21T15:13:00,DEV-77A,IP-103.24,PI-020,Mumbai,3,514,15,2,False,False,True
txn_000084,CUST-1126,M-012,17824,2026-08-21T15:24:00,DEV-060,IP-023,PI-022,Bengaluru,10,795,15,2,True,True,True
txn_000085,CUST-1127,M-004,17937,2026-08-21T15:35:00,DEV-77A,IP-103.24,PI-075,Mumbai,5,619,49,4,False,False,True
txn_000086,CUST-1128,M-003,17706,2026-08-21T15:46:00,DEV-77A,IP-103.24,PI-076,Bengaluru,14,672,32,1,False,False,True
txn_000087,CUST-1129,M-004,18529,2026-08-21T15:57:00,DEV-039,IP-103.24,PI-073,Mumbai,6,575,55,3,True,False,True
txn_000088,CUST-1130,M-011,18336,2026-08-21T16:08:00,DEV-77A,IP-003,PI-002,Delhi,14,531,14,4,False,True,True
txn_000089,CUST-1131,M-015,18041,2026-08-21T16:19:00,DEV-77A,IP-103.24,PI-020,Delhi,3,781,67,3,False,False,True
txn_000090,CUST-1132,M-016,18402,2026-08-21T16:30:00,DEV-079,IP-103.24,PI-060,Delhi,14,778,76,3,True,False,True
txn_000091,CUST-1133,M-008,17960,2026-08-21T16:41:00,DEV-77A,IP-103.24,PI-012,Delhi,8,279,60,4,False,False,True
txn_000092,CUST-1134,M-016,17358,2026-08-21T16:52:00,DEV-77A,IP-011,PI-042,Mumbai,8,247,46,3,False,True,True
txn_000093,CUST-1135,M-020,17872,2026-08-21T17:03:00,DEV-044,IP-103.24,PI-090,Delhi,9,40,67,2,True,False,True
txn_000094,CUST-1136,M-008,17475,2026-08-21T17:14:00,DEV-77A,IP-103.24,PI-053,Delhi,9,806,31,4,False,False,True
txn_000095,CUST-1137,M-016,18622,2026-08-21T17:25:00,DEV-77A,IP-103.24,PI-058,Mumbai,2,331,29,4,False,False,True
txn_000096,CUST-1138,M-019,18659,2026-08-21T17:36:00,DEV-032,IP-010,PI-048,Delhi,9,573,45,4,True,True,True
txn_000097,CUST-1139,M-011,18427,2026-08-21T17:47:00,DEV-77A,IP-103.24,PI-046,Bengaluru,8,307,40,3,False,False,True
txn_000098,CUST-1140,M-004,17772,2026-08-21T17:58:00,DEV-77A,IP-103.24,PI-025,Delhi,2,790,69,2,False,False,True
txn_000099,CUST-1141,M-016,17743,2026-08-21T18:09:00,DEV-025,IP-103.24,PI-036,Bengaluru,10,808,68,3,True,False,True
txn_000100,CUST-1142,M-010,17697,2026-08-21T18:20:00,DEV-77A,IP-004,PI-030,Delhi,3,339,2,2,False,True,True
txn_000101,CUST-1143,M-002,17861,2026-08-21T18:31:00,DEV-77A,IP-103.24,PI-007,Bengaluru,5,744,17,4,False,False,True
txn_000102,CUST-1144,M-019,17325,2026-08-21T18:42:00,DEV-014,IP-103.24,PI-037,Delhi,8,481,44,2,True,False,True
txn_000103,CUST-1145,M-009,17405,2026-08-21T18:53:00,DEV-77A,IP-103.24,PI-062,Mumbai,14,96,52,4,False,False,True
txn_000104,CUST-1146,M-002,18481,2026-08-21T19:04:00,DEV-77A,IP-003,PI-020,Mumbai,13,606,39,1,False,True,True
txn_000105,CUST-1147,M-018,17542,2026-08-21T19:15:00,DEV-032,IP-103.24,PI-054,Bengaluru,10,839,80,2,True,False,True
txn_000106,CUST-1148,M-013,18370,2026-08-21T19:26:00,DEV-77A,IP-103.24,PI-058,Delhi,5,632,55,3,False,False,True
txn_000107,CUST-1149,M-020,18464,2026-08-21T19:37:00,DEV-77A,IP-103.24,PI-008,Bengaluru,12,131,27,2,False,False,True
txn_000108,CUST-1150,M-006,17466,2026-08-21T19:48:00,DEV-034,IP-022,PI-031,Mumbai,9,106,21,1,True,True,True
txn_000109,CUST-1151,M-015,18136,2026-08-21T19:59:00,DEV-77A,IP-103.24,PI-089,Bengaluru,8,328,5,2,False,False,True
txn_000110,CUST-1152,M-010,17890,2026-08-21T20:10:00,DEV-77A,IP-103.24,PI-090,Delhi,2,733,30,3,False,False,True
txn_000111,CUST-1153,M-007,18654,2026-08-21T20:21:00,DEV-076,IP-103.24,PI-055,Mumbai,9,260,20,3,True,False,True
txn_000112,CUST-1154,M-003,17591,2026-08-21T20:32:00,DEV-77A,IP-027,PI-008,Mumbai,13,344,77,3,False,True,True
txn_000113,CUST-1155,M-004,18199,2026-08-21T20:43:00,DEV-77A,IP-103.24,PI-060,Bengaluru,5,746,52,3,False,False,True
txn_000114,CUST-1156,M-016,18405,2026-08-21T20:54:00,DEV-065,IP-103.24,PI-057,Mumbai,10,70,56,3,True,False,True
txn_000115,CUST-1157,M-009,18536,2026-08-21T21:05:00,DEV-77A,IP-103.24,PI-004,Mumbai,4,720,74,1,False,False,True
txn_000116,CUST-1158,M-009,18676,2026-08-21T21:16:00,DEV-77A,IP-025,PI-074,Mumbai,13,804,23,4,False,True,True
txn_000117,CUST-1159,M-015,18634,2026-08-21T21:27:00,DEV-067,IP-103.24,PI-036,Mumbai,10,476,63,1,True,False,True
txn_000118,CUST-1160,M-012,18262,2026-08-21T21:38:00,DEV-77A,IP-103.24,PI-053,Delhi,6,716,14,2,False,False,True
txn_000119,CUST-1161,M-014,17975,2026-08-21T21:49:00,DEV-77A,IP-103.24,PI-089,Delhi,5,708,52,1,False,False,True
txn_000120,CUST-1162,M-004,3148,2026-08-21T22:00:00,DEV-041,IP-009,PI-052,Bengaluru,1,703,70,0,True,True,False
txn_000121,CUST-1163,M-012,4747,2026-08-21T22:11:00,DEV-007,IP-007,PI-080,Delhi,4,808,7,0,True,True,False
txn_000122,CUST-1164,M-015,2859,2026-08-21T22:22:00,DEV-071,IP-005,PI-090,Delhi,1,59,78,0,True,True,False
txn_000123,CUST-1165,M-018,612,2026-08-21T22:33:00,DEV-021,IP-010,PI-053,Mumbai,2,891,15,0,True,True,False
txn_000124,CUST-1166,M-016,1761,2026-08-21T22:44:00,DEV-016,IP-021,PI-038,Bengaluru,3,455,62,0,True,True,False
txn_000125,CUST-1167,M-013,1684,2026-08-21T22:55:00,DEV-032,IP-015,PI-025,Bengaluru,2,101,36,0,True,True,False
txn_000126,CUST-1168,M-009,4659,2026-08-21T23:06:00,DEV-054,IP-011,PI-001,Delhi,3,887,76,0,True,True,False
txn_000127,CUST-1169,M-015,1717,2026-08-21T23:17:00,DEV-063,IP-028,PI-069,Delhi,3,370,71,0,True,True,False
txn_000128,CUST-1170,M-007,3136,2026-08-21T23:28:00,DEV-049,IP-015,PI-090,Mumbai,4,269,53,0,True,True,False
txn_000129,CUST-1171,M-013,13246,2026-08-21T23:39:00,DEV-061,IP-023,PI-085,Bengaluru,3,537,5,2,True,True,True
txn_000130,CUST-1172,M-015,1322,2026-08-21T23:50:00,DEV-076,IP-011,PI-013,Bengaluru,4,45,19,0,True,True,False
txn_000131,CUST-1173,M-009,4346,2026-08-22T00:01:00,DEV-020,IP-003,PI-044,Bengaluru,4,695,11,0,True,True,False
txn_000132,CUST-1174,M-016,3094,2026-08-22T00:12:00,DEV-069,IP-013,PI-070,Mumbai,1,270,37,0,True,True,False
txn_000133,CUST-1175,M-004,1306,2026-08-22T00:23:00,DEV-012,IP-014,PI-057,Mumbai,3,59,6,0,True,True,False
txn_000134,CUST-1176,M-012,3436,2026-08-22T00:34:00,DEV-008,IP-010,PI-056,Mumbai,2,573,53,0,True,True,False
txn_000135,CUST-1177,M-003,1934,2026-08-22T00:45:00,DEV-024,IP-006,PI-079,Delhi,2,539,75,0,True,True,False
txn_000136,CUST-1178,M-015,2580,2026-08-22T00:56:00,DEV-060,IP-021,PI-033,Bengaluru,1,853,60,0,True,True,False
txn_000137,CUST-1179,M-015,1105,2026-08-22T01:07:00,DEV-070,IP-006,PI-045,Bengaluru,3,684,55,0,True,True,False
txn_000138,CUST-1180,M-007,2974,2026-08-22T01:18:00,DEV-059,IP-028,PI-050,Delhi,1,272,49,0,True,True,False
txn_000139,CUST-1181,M-001,2918,2026-08-22T01:29:00,DEV-074,IP-010,PI-085,Delhi,3,38,73,0,True,True,False
txn_000140,CUST-1182,M-010,4569,2026-08-22T01:40:00,DEV-007,IP-030,PI-030,Bengaluru,3,254,25,0,True,True,False
txn_000141,CUST-1183,M-002,1295,2026-08-22T01:51:00,DEV-018,IP-021,PI-040,Delhi,1,623,47,0,True,True,False
txn_000142,CUST-1184,M-011,2917,2026-08-22T02:02:00,DEV-012,IP-030,PI-054,Mumbai,2,165,70,0,True,True,False
txn_000143,CUST-1185,M-009,4610,2026-08-22T02:13:00,DEV-047,IP-017,PI-022,Delhi,4,855,38,0,True,True,False
txn_000144,CUST-1186,M-015,1443,2026-08-22T02:24:00,DEV-044,IP-026,PI-010,Mumbai,2,722,51,0,True,True,False
txn_000145,CUST-1187,M-013,1239,2026-08-22T02:35:00,DEV-072,IP-012,PI-002,Delhi,1,495,48,0,True,True,False
txn_000146,CUST-1188,M-012,3621,2026-08-22T02:46:00,DEV-034,IP-019,PI-014,Bengaluru,2,512,4,0,True,True,False
txn_000147,CUST-1189,M-003,2313,2026-08-22T02:57:00,DEV-072,IP-011,PI-082,Delhi,3,694,53,0,True,True,False
txn_000148,CUST-1190,M-016,2993,2026-08-22T03:08:00,DEV-006,IP-002,PI-015,Mumbai,2,580,18,0,True,True,False
txn_000149,CUST-1191,M-014,4925,2026-08-22T03:19:00,DEV-048,IP-022,PI-076,Bengaluru,2,454,13,0,True,True,False
txn_000150,CUST-1192,M-002,2791,2026-08-22T03:30:00,DEV-079,IP-014,PI-089,Delhi,2,484,57,0,True,True,False
txn_000151,CUST-1193,M-018,3509,2026-08-22T03:41:00,DEV-047,IP-004,PI-083,Delhi,1,437,36,0,True,True,False
txn_000152,CUST-1194,M-003,4225,2026-08-22T03:52:00,DEV-016,IP-028,PI-085,Mumbai,1,81,43,0,True,True,False
txn_000153,CUST-1195,M-003,2181,2026-08-22T04:03:00,DEV-017,IP-026,PI-071,Mumbai,2,862,30,0,True,True,False
txn_000154,CUST-1196,M-009,523,2026-08-22T04:14:00,DEV-019,IP-026,PI-019,Mumbai,3,847,23,0,True,True,False
txn_000155,CUST-1197,M-012,621,2026-08-22T04:25:00,DEV-004,IP-005,PI-031,Bengaluru,3,46,23,0,True,True,False
txn_000156,CUST-1198,M-017,3948,2026-08-22T04:36:00,DEV-017,IP-024,PI-015,Bengaluru,1,517,58,0,True,True,False
txn_000157,CUST-1199,M-015,1393,2026-08-22T04:47:00,DEV-066,IP-019,PI-065,Mumbai,1,774,67,0,True,True,False
txn_000158,CUST-1200,M-013,4423,2026-08-22T04:58:00,DEV-004,IP-002,PI-055,Bengaluru,1,532,57,0,True,True,False
txn_000159,CUST-1201,M-003,9430,2026-08-22T05:09:00,DEV-011,IP-011,PI-017,Delhi,10,678,75,3,True,True,True
txn_000160,CUST-1202,M-015,2915,2026-08-22T05:20:00,DEV-077,IP-017,PI-065,Bengaluru,4,131,15,0,True,True,False
txn_000161,CUST-1203,M-014,2261,2026-08-22T05:31:00,DEV-071,IP-024,PI-058,Mumbai,4,377,59,0,True,True,False
txn_000162,CUST-1204,M-011,3996,2026-08-22T05:42:00,DEV-013,IP-011,PI-086,Delhi,3,186,61,0,True,True,False
txn_000163,CUST-1205,M-004,14075,2026-08-22T05:53:00,DEV-011,IP-003,PI-048,Mumbai,9,91,76,3,True,True,True
txn_000164,CUST-1206,M-002,3964,2026-08-22T06:04:00,DEV-053,IP-012,PI-037,Bengaluru,3,390,14,0,True,True,False
txn_000165,CUST-1207,M-008,4450,2026-08-22T06:15:00,DEV-028,IP-005,PI-014,Delhi,3,147,36,0,True,True,False
txn_000166,CUST-1208,M-020,715,2026-08-22T06:26:00,DEV-055,IP-028,PI-085,Bengaluru,3,59,24,0,True,True,False
txn_000167,CUST-1209,M-012,3283,2026-08-22T06:37:00,DEV-040,IP-030,PI-001,Mumbai,2,609,52,0,True,True,False
txn_000168,CUST-1210,M-007,15691,2026-08-22T06:48:00,DEV-004,IP-003,PI-049,Delhi,8,379,21,3,True,True,True
txn_000169,CUST-1211,M-002,1195,2026-08-22T06:59:00,DEV-042,IP-025,PI-020,Mumbai,1,720,11,0,True,True,False
txn_000170,CUST-1212,M-014,4121,2026-08-22T07:10:00,DEV-055,IP-016,PI-035,Mumbai,1,383,56,0,True,True,False
txn_000171,CUST-1213,M-010,4816,2026-08-22T07:21:00,DEV-076,IP-016,PI-006,Mumbai,4,643,8,0,True,True,False
txn_000172,CUST-1214,M-009,9248,2026-08-22T07:32:00,DEV-039,IP-007,PI-038,Delhi,2,37,64,4,True,True,True
txn_000173,CUST-1215,M-017,2385,2026-08-22T07:43:00,DEV-049,IP-018,PI-072,Bengaluru,3,103,51,0,True,True,False
txn_000174,CUST-1216,M-015,653,2026-08-22T07:54:00,DEV-006,IP-014,PI-010,Delhi,4,617,52,0,True,True,False
txn_000175,CUST-1217,M-013,1443,2026-08-22T08:05:00,DEV-054,IP-010,PI-003,Delhi,2,850,80,0,True,True,False
txn_000176,CUST-1218,M-004,4077,2026-08-22T08:16:00,DEV-047,IP-003,PI-032,Delhi,4,566,11,0,True,True,False
txn_000177,CUST-1219,M-008,3281,2026-08-22T08:27:00,DEV-040,IP-024,PI-043,Mumbai,1,552,15,0,True,True,False
txn_000178,CUST-1220,M-012,3362,2026-08-22T08:38:00,DEV-025,IP-029,PI-083,Mumbai,2,135,19,0,True,True,False
txn_000179,CUST-1221,M-003,1752,2026-08-22T08:49:00,DEV-023,IP-020,PI-023,Bengaluru,4,505,73,0,True,True,False
txn_000180,CUST-1042,M-011,3147,2026-08-22T09:00:00,DEV-058,IP-022,PI-020,Delhi,1,510,57,0,True,True,False
txn_000181,CUST-1043,M-012,960,2026-08-22T09:11:00,DEV-036,IP-019,PI-065,Mumbai,3,502,58,0,True,True,False
txn_000182,CUST-1044,M-003,11703,2026-08-22T09:22:00,DEV-048,IP-027,PI-083,Mumbai,10,638,65,4,True,True,True
txn_000183,CUST-1045,M-015,836,2026-08-22T09:33:00,DEV-071,IP-026,PI-074,Bengaluru,2,359,78,0,True,True,False
txn_000184,CUST-1046,M-004,4190,2026-08-22T09:44:00,DEV-020,IP-002,PI-044,Bengaluru,1,546,23,0,True,True,False
txn_000185,CUST-1047,M-017,15586,2026-08-22T09:55:00,DEV-057,IP-015,PI-079,Mumbai,6,411,37,4,True,True,True
txn_000186,CUST-1048,M-011,928,2026-08-22T10:06:00,DEV-044,IP-022,PI-009,Delhi,1,601,50,0,True,True,False
txn_000187,CUST-1049,M-011,1731,2026-08-22T10:17:00,DEV-078,IP-028,PI-011,Bengaluru,2,388,40,0,True,True,False
txn_000188,CUST-1050,M-010,1194,2026-08-22T10:28:00,DEV-051,IP-005,PI-072,Delhi,3,862,17,0,True,True,False
txn_000189,CUST-1051,M-017,3968,2026-08-22T10:39:00,DEV-068,IP-003,PI-047,Mumbai,3,346,24,0,True,True,False
txn_000190,CUST-1052,M-007,4483,2026-08-22T10:50:00,DEV-044,IP-025,PI-029,Mumbai,2,109,38,0,True,True,False
txn_000191,CUST-1053,M-017,4921,2026-08-22T11:01:00,DEV-013,IP-017,PI-005,Bengaluru,3,814,80,0,True,True,False
txn_000192,CUST-1054,M-006,1829,2026-08-22T11:12:00,DEV-049,IP-005,PI-089,Bengaluru,2,768,57,0,True,True,False
txn_000193,CUST-1055,M-015,10891,2026-08-22T11:23:00,DEV-047,IP-022,PI-079,Delhi,13,796,58,2,True,True,True
txn_000194,CUST-1056,M-007,4342,2026-08-22T11:34:00,DEV-040,IP-026,PI-048,Bengaluru,4,502,37,0,True,True,False
txn_000195,CUST-1057,M-006,3929,2026-08-22T11:45:00,DEV-065,IP-017,PI-026,Bengaluru,2,286,7,0,True,True,False
